"","ttm","logm","quote_date","expiry","m","name","w","call","put","iv"
"149",0.04,0.4055,2019-01-01,2019-01-15,1.50005233875085,"Prior",0.00564975384622812,NA,NA,0.383075518858596
"150",0.04,0.4055,2019-01-01,2019-01-15,1.50005233875085,"Prior x NN Model",0.00891156680881977,NA,NA,0.481112531287175
"151",0.04,0.5596,2019-01-01,2019-01-15,1.74997237133111,"Data",0.0128719991371303,NA,NA,0.578219370071136
"152",0.04,0.5596,2019-01-01,2019-01-15,1.74997237133111,"Prior",0.00775440176948905,NA,NA,0.448790633785668
"153",0.04,0.5596,2019-01-01,2019-01-15,1.74997237133111,"Prior x NN Model",0.0132412984967232,NA,NA,0.586455310389222
"154",0.04,0.6931,2019-01-01,2019-01-15,1.99990564110608,"Data",0.0186178344082964,NA,NA,0.695399248274835
"155",0.04,0.6931,2019-01-01,2019-01-15,1.99990564110608,"Prior",0.00957784149795771,NA,NA,0.498773599785571
"156",0.04,0.6931,2019-01-01,2019-01-15,1.99990564110608,"Prior x NN Model",0.019121078774333,NA,NA,0.704734983334815
"157",0.04,0.9163,2019-01-01,2019-01-15,2.50002317042199,"Data",0.0316296661540424,NA,NA,0.906393827337139
"158",0.04,0.9163,2019-01-01,2019-01-15,2.50002317042199,"Prior",0.0126265957951546,NA,NA,0.572680999463813
"159",0.04,0.9163,2019-01-01,2019-01-15,2.50002317042199,"Prior x NN Model",0.0319841839373112,NA,NA,0.911459282878695
"160",0.04,1.0986,2019-01-01,2019-01-15,2.99996313422219,"Data",0.0446389994510934,NA,NA,1.07677970411651
"161",0.04,1.0986,2019-01-01,2019-01-15,2.99996313422219,"Prior",0.0151167511940002,NA,NA,0.626612231093402
"162",0.04,1.0986,2019-01-01,2019-01-15,2.99996313422219,"Prior x NN Model",0.0442274287343025,NA,NA,1.07180426511055
"163",0.06,-1.204,2019-01-01,2019-01-22,0.29999184140872,"Data",0.0576453293043984,NA,NA,0.999526138198887
"164",0.06,-1.204,2019-01-01,2019-01-22,0.29999184140872,"Prior",0.0350045897066593,NA,NA,0.778887240151644
"165",0.06,-1.204,2019-01-01,2019-01-22,0.29999184140872,"Prior x NN Model",0.0575272925198078,NA,NA,0.998502279801921
"166",0.06,-0.9163,2019-01-01,2019-01-22,0.399996292766842,"Data",0.0337093024222151,NA,NA,0.764340683047221
"167",0.06,-0.9163,2019-01-01,2019-01-22,0.399996292766842,"Prior",0.0267101135104895,NA,NA,0.680377526846637
"168",0.06,-0.9163,2019-01-01,2019-01-22,0.399996292766842,"Prior x NN Model",0.0351931340992451,NA,NA,0.780982074049665
"169",0.06,-0.5108,2019-01-01,2019-01-22,0.600015374456569,"Data",0.0148885096871691,NA,NA,0.507969582584779
"170",0.06,-0.5108,2019-01-01,2019-01-22,0.600015374456569,"Prior",0.0150199253112078,NA,NA,0.510206491503592
"171",0.06,-0.5108,2019-01-01,2019-01-22,0.600015374456569,"Prior x NN Model",0.0149099826812744,NA,NA,0.508335760866759
"172",0.06,-0.2231,2019-01-01,2019-01-22,0.800034841810066,"Data",0.00633934929675547,NA,NA,0.331462525015568
"173",0.06,-0.2231,2019-01-01,2019-01-22,0.800034841810066,"Prior",0.0067276805639267,NA,NA,0.341463883053936
"174",0.06,-0.2231,2019-01-01,2019-01-22,0.800034841810066,"Prior x NN Model",0.00623954180628061,NA,NA,0.328842879843218
"175",0.06,-0.1054,2019-01-01,2019-01-22,0.89996446479359,"Data",0.00276758552985723,NA,NA,0.219009331245427
"176",0.06,-0.1054,2019-01-01,2019-01-22,0.89996446479359,"Prior",0.00333905383013189,NA,NA,0.240560215247655
"177",0.06,-0.1054,2019-01-01,2019-01-22,0.89996446479359,"Prior x NN Model",0.00282705831341445,NA,NA,0.221349974755681
"178",0.06,-0.0513,2019-01-01,2019-01-22,0.949993629689531,"Data",0.00152533115983517,NA,NA,0.162590124845627
"179",0.06,-0.0513,2019-01-01,2019-01-22,0.949993629689531,"Prior",0.00178836740087718,NA,NA,0.176051798392146
"180",0.06,-0.0513,2019-01-01,2019-01-22,0.949993629689531,"Prior x NN Model",0.00149309693370014,NA,NA,0.16086297460237
"181",0.06,-0.0253,2019-01-01,2019-01-22,0.975017362939282,"Data",0.000974469641936575,NA,NA,0.1299559745434
"182",0.06,-0.0253,2019-01-01,2019-01-22,0.975017362939282,"Prior",0.00105481490027159,NA,NA,0.135207325252495
"183",0.06,-0.0253,2019-01-01,2019-01-22,0.975017362939282,"Prior x NN Model",0.000975325296167284,NA,NA,0.130013017357014
"184",0.06,0,2019-01-01,2019-01-22,1,"Data",0.000442833380738978,NA,NA,0.0876056807448531
